DATA16 X,DATA16 Y
1.25e-06,-0.45
1.35e-06,-0.39375
1.45e-06,-0.39375
1.55e-06,-0.3375
1.65e-06,-0.28125
1.75e-06,-0.16875
1.85e-06,-0.1125
1.95e-06,0
2.05e-06,0.05625
2.15e-06,0.16875
2.25e-06,0.225
2.35e-06,0.28125
2.45e-06,0.3375
2.55e-06,0.3375
2.65e-06,0.39375
2.75e-06,0.39375
2.85e-06,0.3375
2.95e-06,0.3375
3.05e-06,0.28125
3.15e-06,0.225
3.25e-06,0.16875
3.35e-06,0.05625
3.45e-06,0
3.55e-06,-0.1125
3.65e-06,-0.16875
3.75e-06,-0.28125
3.85e-06,-0.3375
3.95e-06,-0.39375
4.05e-06,-0.39375
4.15e-06,-0.45
4.25e-06,-0.45
4.35e-06,-0.39375
4.45e-06,-0.39375
4.55e-06,-0.3375
4.65e-06,-0.28125
4.75e-06,-0.225
4.85e-06,-0.1125
4.95e-06,-0.05625
5.05e-06,0.05625
5.15e-06,0.1125
5.25e-06,0.16875
5.35e-06,0.28125
5.45e-06,0.3375
5.55e-06,0.3375
5.65e-06,0.39375
5.75e-06,0.39375
5.85e-06,0.3375
5.95e-06,0.3375
6.05e-06,0.28125
6.15e-06,0.225
6.25e-06,0.16875
6.35e-06,0.1125
6.45e-06,0
6.55e-06,-0.05625
6.65e-06,-0.16875
6.75e-06,-0.225
6.85e-06,-0.28125
6.95e-06,-0.3375
7.05e-06,-0.39375
7.15e-06,-0.45
7.25e-06,-0.45
7.35e-06,-0.45
7.45e-06,-0.39375
7.55e-06,-0.3375
7.65e-06,-0.28125
7.75e-06,-0.225
7.85e-06,-0.16875
7.95e-06,-0.05625
8.05e-06,0
8.15e-06,0.1125
8.25e-06,0.16875
8.35e-06,0.225
8.45e-06,0.28125
8.55e-06,0.3375
8.65e-06,0.39375
8.75e-06,0.39375
8.85e-06,0.39375
8.95e-06,0.3375
9.05e-06,0.28125
9.15e-06,0.225
9.25e-06,0.16875
9.35e-06,0.1125
9.45e-06,0.05625
9.55e-06,-0.05625
9.65e-06,-0.1125
9.75e-06,-0.225
9.85e-06,-0.28125
9.95e-06,-0.3375
1.005e-05,-0.39375
1.015e-05,-0.39375
1.025e-05,-0.45
1.035e-05,-0.45
1.045e-05,-0.39375
1.055e-05,-0.39375
1.065e-05,-0.3375
1.075e-05,-0.28125
1.085e-05,-0.16875
1.095e-05,-0.1125
1.105e-05,0
1.115e-05,0.05625
1.125e-05,0.16875
1.135e-05,0.225
1.145e-05,0.28125
1.155e-05,0.3375
1.165e-05,0.3375
1.175e-05,0.39375
1.185e-05,0.39375
1.195e-05,0.3375
1.205e-05,0.3375
1.215e-05,0.28125
1.225e-05,0.225
1.235e-05,0.1125
1.245e-05,0.05625
1.255e-05,0
1.265e-05,-0.1125
1.275e-05,-0.16875
1.285e-05,-0.28125
1.295e-05,-0.3375
1.305e-05,-0.39375
1.315e-05,-0.39375
1.325e-05,-0.45
1.335e-05,-0.45
1.345e-05,-0.39375
1.355e-05,-0.39375
1.365e-05,-0.3375
1.375e-05,-0.28125
1.385e-05,-0.225
1.395e-05,-0.1125
1.405e-05,-0.05625
1.415e-05,0.05625
1.425e-05,0.1125
1.435e-05,0.225
1.445e-05,0.28125
1.455e-05,0.3375
1.465e-05,0.3375
1.475e-05,0.39375
1.485e-05,0.39375
1.495e-05,0.3375
1.505e-05,0.3375
1.515e-05,0.28125
1.525e-05,0.225
1.535e-05,0.16875
1.545e-05,0.05625
1.555e-05,0
1.565e-05,-0.1125
1.575e-05,-0.16875
1.585e-05,-0.225
1.595e-05,-0.28125
1.605e-05,-0.3375
1.615e-05,-0.39375
1.625e-05,-0.45
1.635e-05,-0.45
1.645e-05,-0.45
1.655e-05,-0.39375
1.665e-05,-0.3375
1.675e-05,-0.28125
1.685e-05,-0.225
1.695e-05,-0.16875
1.705e-05,-0.05625
1.715e-05,0
1.725e-05,0.1125
1.735e-05,0.16875
1.745e-05,0.225
1.755e-05,0.28125
1.765e-05,0.3375
1.775e-05,0.39375
1.785e-05,0.39375
1.795e-05,0.39375
1.805e-05,0.3375
1.815e-05,0.28125
1.825e-05,0.225
1.835e-05,0.16875
1.845e-05,0.1125
1.855e-05,0
1.865e-05,-0.05625
1.875e-05,-0.16875
1.885e-05,-0.225
1.895e-05,-0.28125
1.905e-05,-0.3375
1.915e-05,-0.39375
1.925e-05,-0.39375
1.935e-05,-0.45
1.945e-05,-0.45
1.955e-05,-0.39375
1.965e-05,-0.39375
1.975e-05,-0.3375
1.985e-05,-0.225
1.995e-05,-0.16875
2.005e-05,-0.1125
2.015e-05,0
2.025e-05,0.05625
2.035e-05,0.16875
2.045e-05,0.225
2.055e-05,0.28125
2.065e-05,0.3375
2.075e-05,0.3375
2.085e-05,0.39375
2.095e-05,0.39375
2.105e-05,0.3375
2.115e-05,0.3375
2.125e-05,0.28125
2.135e-05,0.225
2.145e-05,0.1125
2.155e-05,0.05625
2.165e-05,-0.05625
2.175e-05,-0.1125
2.185e-05,-0.225
2.195e-05,-0.28125
2.205e-05,-0.3375
2.215e-05,-0.39375
2.225e-05,-0.39375
2.235e-05,-0.45
2.245e-05,-0.45
2.255e-05,-0.39375
2.265e-05,-0.39375
2.275e-05,-0.3375
2.285e-05,-0.28125
2.295e-05,-0.16875
2.305e-05,-0.1125
2.315e-05,-0.05625
2.325e-05,0.05625
2.335e-05,0.1125
2.345e-05,0.225
2.355e-05,0.28125
2.365e-05,0.3375
2.375e-05,0.3375
2.385e-05,0.39375
2.395e-05,0.39375
2.405e-05,0.3375
2.415e-05,0.3375
2.425e-05,0.28125
2.435e-05,0.225
2.445e-05,0.16875
2.455e-05,0.05625
2.465e-05,0
2.475e-05,-0.1125
2.485e-05,-0.16875
2.495e-05,-0.225
2.505e-05,-0.3375
2.515e-05,-0.39375
2.525e-05,-0.39375
2.535e-05,-0.45
2.545e-05,-0.45
2.555e-05,-0.39375
2.565e-05,-0.39375
2.575e-05,-0.3375
2.585e-05,-0.28125
2.595e-05,-0.225
2.605e-05,-0.1125
2.615e-05,-0.05625
2.625e-05,0
2.635e-05,0.1125
2.645e-05,0.16875
2.655e-05,0.225
2.665e-05,0.28125
2.675e-05,0.3375
2.685e-05,0.39375
2.695e-05,0.39375
2.705e-05,0.39375
2.715e-05,0.3375
2.725e-05,0.28125
2.735e-05,0.225
2.745e-05,0.16875
2.755e-05,0.1125
2.765e-05,0
2.775e-05,-0.05625
2.785e-05,-0.16875
2.795e-05,-0.225
2.805e-05,-0.28125
2.815e-05,-0.3375
2.825e-05,-0.39375
2.835e-05,-0.45
2.845e-05,-0.45
2.855e-05,-0.45
2.865e-05,-0.39375
2.875e-05,-0.3375
2.885e-05,-0.28125
2.895e-05,-0.225
2.905e-05,-0.16875
2.915e-05,-0.05625
2.925e-05,0
2.935e-05,0.05625
2.945e-05,0.16875
2.955e-05,0.225
2.965e-05,0.28125
2.975e-05,0.3375
2.985e-05,0.3375
2.995e-05,0.39375
3.005e-05,0.39375
3.015e-05,0.3375
3.025e-05,0.3375
3.035e-05,0.28125
3.045e-05,0.16875
3.055e-05,0.1125
3.065e-05,0.05625
3.075e-05,-0.05625
3.085e-05,-0.1125
3.095e-05,-0.225
3.105e-05,-0.28125
3.115e-05,-0.3375
3.125e-05,-0.39375
3.135e-05,-0.39375
3.145e-05,-0.45
3.155e-05,-0.45
3.165e-05,-0.39375
3.175e-05,-0.39375
3.185e-05,-0.3375
3.195e-05,-0.28125
3.205e-05,-0.16875
3.215e-05,-0.1125
3.225e-05,0
3.235e-05,0.05625
3.245e-05,0.1125
3.255e-05,0.225
3.265e-05,0.28125
3.275e-05,0.3375
3.285e-05,0.3375
3.295e-05,0.39375
3.305e-05,0.39375
3.315e-05,0.3375
3.325e-05,0.3375
3.335e-05,0.28125
3.345e-05,0.225
3.355e-05,0.16875
3.365e-05,0.05625
3.375e-05,0
3.385e-05,-0.1125
3.395e-05,-0.16875
3.405e-05,-0.28125
3.415e-05,-0.3375
3.425e-05,-0.39375
3.435e-05,-0.39375
3.445e-05,-0.45
3.455e-05,-0.45
3.465e-05,-0.39375
3.475e-05,-0.39375
3.485e-05,-0.3375
3.495e-05,-0.28125
3.505e-05,-0.225
3.515e-05,-0.1125
3.525e-05,-0.05625
3.535e-05,0.05625
3.545e-05,0.1125
3.555e-05,0.16875
3.565e-05,0.28125
3.575e-05,0.3375
3.585e-05,0.3375
3.595e-05,0.39375
3.605e-05,0.39375
3.615e-05,0.39375
3.625e-05,0.3375
3.635e-05,0.28125
3.645e-05,0.225
3.655e-05,0.16875
3.665e-05,0.1125
3.675e-05,0
3.685e-05,-0.05625
3.695e-05,-0.16875
3.705e-05,-0.225
3.715e-05,-0.28125
3.725e-05,-0.3375
3.735e-05,-0.39375
3.745e-05,-0.45
3.755e-05,-0.45
3.765e-05,-0.45
3.775e-05,-0.39375
3.785e-05,-0.3375
3.795e-05,-0.28125
3.805e-05,-0.225
3.815e-05,-0.16875
3.825e-05,-0.05625
3.835e-05,0
3.845e-05,0.1125
3.855e-05,0.16875
3.865e-05,0.225
3.875e-05,0.28125
3.885e-05,0.3375
3.895e-05,0.39375
3.905e-05,0.39375
3.915e-05,0.39375
3.925e-05,0.3375
3.935e-05,0.28125
3.945e-05,0.28125
3.955e-05,0.16875
3.965e-05,0.1125
3.975e-05,0.05625
3.985e-05,-0.05625
3.995e-05,-0.1125
4.005e-05,-0.225
4.015e-05,-0.28125
4.025e-05,-0.3375
4.035e-05,-0.39375
4.045e-05,-0.39375
4.055e-05,-0.45
4.065e-05,-0.45
4.075e-05,-0.39375
4.085e-05,-0.39375
4.095e-05,-0.3375
4.105e-05,-0.28125
4.115e-05,-0.16875
4.125e-05,-0.1125
4.135e-05,0
4.145e-05,0.05625
4.155e-05,0.16875
4.165e-05,0.225
4.175e-05,0.28125
4.185e-05,0.3375
4.195e-05,0.3375
4.205e-05,0.39375
4.215e-05,0.39375
4.225e-05,0.3375
4.235e-05,0.3375
4.245e-05,0.28125
4.255e-05,0.225
4.265e-05,0.1125
4.275e-05,0.05625
4.285e-05,0
4.295e-05,-0.1125
4.305e-05,-0.16875
4.315e-05,-0.28125
4.325e-05,-0.3375
4.335e-05,-0.39375
4.345e-05,-0.39375
4.355e-05,-0.45
4.365e-05,-0.45
4.375e-05,-0.39375
4.385e-05,-0.39375
4.395e-05,-0.3375
4.405e-05,-0.28125
4.415e-05,-0.225
4.425e-05,-0.1125
4.435e-05,-0.05625
4.445e-05,0.05625
4.455e-05,0.1125
4.465e-05,0.16875
4.475e-05,0.28125
4.485e-05,0.3375
4.495e-05,0.3375
4.505e-05,0.39375
4.515e-05,0.39375
4.525e-05,0.3375
4.535e-05,0.3375
4.545e-05,0.28125
4.555e-05,0.225
4.565e-05,0.16875
4.575e-05,0.05625
4.585e-05,0
4.595e-05,-0.05625
4.605e-05,-0.16875
4.615e-05,-0.225
4.625e-05,-0.28125
4.635e-05,-0.3375
4.645e-05,-0.39375
4.655e-05,-0.45
4.665e-05,-0.45
4.675e-05,-0.45
4.685e-05,-0.39375
4.695e-05,-0.3375
4.705e-05,-0.28125
4.715e-05,-0.225
4.725e-05,-0.16875
4.735e-05,-0.05625
4.745e-05,0
4.755e-05,0.1125
4.765e-05,0.16875
4.775e-05,0.225
4.785e-05,0.28125
4.795e-05,0.3375
4.805e-05,0.39375
4.815e-05,0.39375
4.825e-05,0.39375
4.835e-05,0.3375
4.845e-05,0.28125
4.855e-05,0.225
4.865e-05,0.16875
4.875e-05,0.1125
4.885e-05,0
4.895e-05,-0.05625
4.905e-05,-0.1125
4.915e-05,-0.225
4.925e-05,-0.28125
4.935e-05,-0.3375
4.945e-05,-0.39375
4.955e-05,-0.39375
4.965e-05,-0.45
4.975e-05,-0.45
4.985e-05,-0.39375
4.995e-05,-0.39375
5.005e-05,-0.3375
5.015e-05,-0.225
5.025e-05,-0.16875
5.035e-05,-0.1125
5.045e-05,0
5.055e-05,0.05625
5.065e-05,0.16875
5.075e-05,0.225
5.085e-05,0.28125
5.095e-05,0.3375
5.105e-05,0.3375
5.115e-05,0.39375
5.125e-05,0.39375
5.135e-05,0.3375
5.145e-05,0.3375
5.155e-05,0.28125
5.165e-05,0.225
5.175e-05,0.1125
5.185e-05,0.05625
5.195e-05,-0.05625
5.205e-05,-0.1125
5.215e-05,-0.16875
5.225e-05,-0.28125
5.235e-05,-0.3375
5.245e-05,-0.39375
5.255e-05,-0.39375
5.265e-05,-0.45
5.275e-05,-0.45
5.285e-05,-0.39375
5.295e-05,-0.39375
5.305e-05,-0.3375
5.315e-05,-0.28125
5.325e-05,-0.225
5.335e-05,-0.1125
5.345e-05,-0.05625
5.355e-05,0.05625
5.365e-05,0.1125
5.375e-05,0.225
5.385e-05,0.28125
5.395e-05,0.3375
5.405e-05,0.3375
5.415e-05,0.39375
5.425e-05,0.39375
5.435e-05,0.3375
5.445e-05,0.3375
5.455e-05,0.28125
5.465e-05,0.225
5.475e-05,0.16875
5.485e-05,0.05625
5.495e-05,0
5.505e-05,-0.1125
5.515e-05,-0.16875
5.525e-05,-0.225
5.535e-05,-0.3375
5.545e-05,-0.39375
5.555e-05,-0.39375
5.565e-05,-0.45
5.575e-05,-0.45
5.585e-05,-0.39375
5.595e-05,-0.39375
5.605e-05,-0.3375
5.615e-05,-0.28125
5.625e-05,-0.225
5.635e-05,-0.16875
5.645e-05,-0.05625
5.655e-05,0
5.665e-05,0.1125
5.675e-05,0.16875
5.685e-05,0.225
5.695e-05,0.28125
5.705e-05,0.3375
5.715e-05,0.39375
5.725e-05,0.39375
5.735e-05,0.39375
5.745e-05,0.3375
5.755e-05,0.28125
5.765e-05,0.225
5.775e-05,0.16875
5.785e-05,0.1125
5.795e-05,0
5.805e-05,-0.05625
5.815e-05,-0.16875
5.825e-05,-0.225
5.835e-05,-0.28125
5.845e-05,-0.3375
5.855e-05,-0.39375
5.865e-05,-0.45
5.875e-05,-0.45
5.885e-05,-0.45
5.895e-05,-0.39375
5.905e-05,-0.3375
5.915e-05,-0.28125
5.925e-05,-0.225
5.935e-05,-0.16875
5.945e-05,-0.1125
5.955e-05,0
5.965e-05,0.05625
5.975e-05,0.16875
5.985e-05,0.225
5.995e-05,0.28125
6.005e-05,0.3375
6.015e-05,0.3375
6.025e-05,0.39375
6.035e-05,0.39375
6.045e-05,0.3375
6.055e-05,0.3375
6.065e-05,0.28125
6.075e-05,0.225
6.085e-05,0.1125
6.095e-05,0.05625
6.105e-05,-0.05625
6.115e-05,-0.1125
6.125e-05,-0.225
6.135e-05,-0.28125
6.145e-05,-0.3375
6.155e-05,-0.39375
6.165e-05,-0.39375
6.175e-05,-0.45
6.185e-05,-0.45
6.195e-05,-0.39375
6.205e-05,-0.39375
6.215e-05,-0.3375
6.225e-05,-0.28125
6.235e-05,-0.16875
6.245e-05,-0.1125
6.255e-05,0
6.265e-05,0.05625
6.275e-05,0.1125
6.285e-05,0.225
6.295e-05,0.28125
6.305e-05,0.3375
6.315e-05,0.3375
6.325e-05,0.39375
6.335e-05,0.39375
6.345e-05,0.3375
6.355e-05,0.3375
6.365e-05,0.28125
6.375e-05,0.225
6.385e-05,0.16875
6.395e-05,0.05625
6.405e-05,0
6.415e-05,-0.1125
6.425e-05,-0.16875
6.435e-05,-0.28125
6.445e-05,-0.3375
6.455e-05,-0.39375
6.465e-05,-0.39375
6.475e-05,-0.45
6.485e-05,-0.45
6.495e-05,-0.39375
6.505e-05,-0.39375
6.515e-05,-0.3375
6.525e-05,-0.28125
6.535e-05,-0.225
6.545e-05,-0.1125
6.555e-05,-0.05625
6.565e-05,0.05625
6.575e-05,0.1125
6.585e-05,0.16875
6.595e-05,0.28125
6.605e-05,0.28125
6.615e-05,0.3375
6.625e-05,0.39375
6.635e-05,0.39375
6.645e-05,0.39375
6.655e-05,0.3375
6.665e-05,0.28125
6.675e-05,0.225
6.685e-05,0.16875
6.695e-05,0.1125
6.705e-05,0
